epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84682,2.71436,3.43835,2.60526,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.000333333,0.000333333,0.000333333
2,7.78752,2.90067,3.57279,2.6005,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.0009802,0.0009802,0.0009802
3,11.5392,2.91042,3.54881,2.43298,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.00160067,0.00160067,0.00160067
4,14.1423,2.92528,3.46931,2.39927,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.0018812,0.0018812,0.0018812
5,16.765,2.73115,3.65425,2.47196,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.0018416,0.0018416,0.0018416
6,19.0088,2.65179,3.5907,2.46261,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.001802,0.001802,0.001802
7,21.2085,3.08714,3.40043,2.57476,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.0017624,0.0017624,0.0017624
8,23.4388,2.52162,3.392,2.47674,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.0017228,0.0017228,0.0017228
9,26.0626,2.71159,3.32198,2.31785,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.0016832,0.0016832,0.0016832
10,28.5916,2.76944,3.43152,2.50468,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.0016436,0.0016436,0.0016436
11,31.1868,2.97435,3.50082,2.42419,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.001604,0.001604,0.001604
12,33.6733,2.88974,3.63659,2.61309,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.0015644,0.0015644,0.0015644
13,36.0163,2.97332,3.51939,2.68703,0.005,0.03093,0.00027,9e-05,3.00244,3.61071,1.97408,0.0015248,0.0015248,0.0015248
14,38.7172,2.74666,3.74482,2.32487,0,0,0,0,3.96498,3.59682,2.95256,0.0014852,0.0014852,0.0014852
15,42.0186,2.59525,3.40445,2.0796,0,0,0,0,3.96498,3.59682,2.95256,0.0014456,0.0014456,0.0014456
16,46.0649,2.41321,3.36381,2.22558,0,0,0,0,3.96498,3.59682,2.95256,0.001406,0.001406,0.001406
17,49.1959,2.52093,3.33295,2.30686,0,0,0,0,3.96498,3.59682,2.95256,0.0013664,0.0013664,0.0013664
18,52.4597,2.45838,3.33798,2.14611,0,0,0,0,3.96498,3.59682,2.95256,0.0013268,0.0013268,0.0013268
19,55.0767,2.28741,3.3122,2.0595,0,0,0,0,3.96498,3.59682,2.95256,0.0012872,0.0012872,0.0012872
20,57.7179,2.52044,3.40495,2.05855,0,0,0,0,3.96498,3.59682,2.95256,0.0012476,0.0012476,0.0012476
21,60.153,2.00497,3.35894,1.9408,0,0,0,0,3.96498,3.59682,2.95256,0.001208,0.001208,0.001208
22,62.8613,2.56621,3.25698,2.23291,0,0,0,0,3.96498,3.59682,2.95256,0.0011684,0.0011684,0.0011684
23,65.1027,2.44031,3.53208,2.0983,0,0,0,0,3.96498,3.59682,2.95256,0.0011288,0.0011288,0.0011288
24,67.3822,2.75121,3.50583,2.08547,0,0,0,0,3.96498,3.59682,2.95256,0.0010892,0.0010892,0.0010892
25,69.5532,2.43904,3.4032,2.11619,0,0,0,0,3.96498,3.59682,2.95256,0.0010496,0.0010496,0.0010496
26,71.9537,1.74975,3.12413,1.72428,0,0,0,0,3.96498,3.59682,2.95256,0.00101,0.00101,0.00101
27,74.2655,2.36557,3.29305,2.10348,0,0,0,0,3.96498,3.59682,2.95256,0.0009704,0.0009704,0.0009704
28,77.5002,1.73935,3.16204,1.86987,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.0009308,0.0009308,0.0009308
29,81.415,2.38925,3.2882,1.9605,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.0008912,0.0008912,0.0008912
30,85.3061,2.23304,3.30067,2.1577,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.0008516,0.0008516,0.0008516
31,89.0647,2.24309,3.05308,2.08017,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.000812,0.000812,0.000812
32,91.6105,2.12728,3.12965,1.90693,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.0007724,0.0007724,0.0007724
33,93.7282,1.86596,3.03659,1.75829,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.0007328,0.0007328,0.0007328
34,95.9751,2.03419,3.09429,1.95405,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.0006932,0.0006932,0.0006932
35,98.2653,1.97319,3.01369,1.99159,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.0006536,0.0006536,0.0006536
36,100.755,2.31673,3.34506,1.91964,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.000614,0.000614,0.000614
37,102.837,2.02995,3.12476,1.97589,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.0005744,0.0005744,0.0005744
38,105.218,1.93332,2.97427,1.821,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.0005348,0.0005348,0.0005348
39,107.866,2.22742,3.21663,1.94867,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.0004952,0.0004952,0.0004952
40,110.022,1.83573,3.09669,1.77867,0.00333,0.02062,0.0001,2e-05,3.07551,3.49796,2.16915,0.0004556,0.0004556,0.0004556
41,112.256,2.10101,3.3396,1.8584,0.005,0.03093,0.00018,3e-05,3.14462,3.47954,2.09768,0.000416,0.000416,0.000416
42,114.615,2.48685,3.44681,2.03606,0.005,0.03093,0.00018,3e-05,3.14462,3.47954,2.09768,0.0003764,0.0003764,0.0003764
43,118.248,1.88524,3.09091,1.86793,0.005,0.03093,0.00018,3e-05,3.14462,3.47954,2.09768,0.0003368,0.0003368,0.0003368
44,121.917,1.70471,2.96575,1.94175,0.005,0.03093,0.00018,3e-05,3.14462,3.47954,2.09768,0.0002972,0.0002972,0.0002972
45,125.663,1.79811,2.89925,1.94543,0.005,0.03093,0.00018,3e-05,3.14462,3.47954,2.09768,0.0002576,0.0002576,0.0002576
46,129.026,1.86337,3.21653,1.78616,0.005,0.03093,0.00018,3e-05,3.14462,3.47954,2.09768,0.000218,0.000218,0.000218
47,131.239,1.78675,2.78363,1.72004,0.005,0.03093,0.00018,3e-05,3.14462,3.47954,2.09768,0.0001784,0.0001784,0.0001784
48,133.911,2.34344,3.43726,2.11198,0.005,0.03093,0.00018,3e-05,3.14462,3.47954,2.09768,0.0001388,0.0001388,0.0001388
49,136.581,2.27267,3.20235,1.93469,0.005,0.03093,0.00018,3e-05,3.14462,3.47954,2.09768,9.92e-05,9.92e-05,9.92e-05
50,138.869,2.82382,3.57681,2.10781,0.005,0.03093,0.00018,3e-05,3.14462,3.47954,2.09768,5.96e-05,5.96e-05,5.96e-05
